item_no,text,family,lane,argument,cluster_id,cluster_name,originator,originator_work,originator_year,real_source_cited,verdict
12,Gyroscope anomalies indicating no rotation.,A,A-EXP,ARG-A07,A07,Gyroscopes / ring-laser gyros show no Earth rotation,Bob Knodel,GlobeBusters / Behind the Curve,2018,Sagnac 1913; standard ring-laser INS engineering,SELF-CONTRADICTED
13,Aircraft navigation not compensating for spin.,A,A-EXP,ARG-A08,A08,Aircraft don't compensate for spin; east/west flight times symmetric,Samuel Rowbotham,Earth Not a Globe,1865,Inertial navigation systems measure Earth rate on every flight,REFUTED
14,Bedford Level and similar flat-water laser tests.,B,B,ARG-B03,B03,Bedford Level / laser canal tests show no curvature,Samuel Rowbotham,Old Bedford Canal trials,1838,Wallace 1870; Oldham 1901,REFUTED
15,Geostationary satellites fit rotating sky model.,A,A-EXP,ARG-A21,A21,Satellites and geostationary orbits reinterpreted in an Earth-fixed frame,Samuel Shenton,International Flat Earth Research Society,1957,,STANDARD PHYSICS
16,Perfect circular star trails around Polaris.,B,B,ARG-B08,B08,Star trails / Polaris fixed / southern circumpolar geometry,Eric Dubay,200 Proofs Earth Is Not a Spinning Ball,2015,,REFUTED
17,Polaris constant alignment over millennia.,B,B,ARG-B08,B08,Star trails / Polaris fixed / southern circumpolar geometry,Eric Dubay,200 Proofs Earth Is Not a Spinning Ball,2015,,REFUTED
18,No aberration variation over centuries.,A,A-EXP,ARG-A04,A04,"Stellar aberration is optical/parallax, not Earth's motion",Walter van der Kamp,Bulletin of the Tychonian Society,1970s,James Bradley 1729,REFUTED
19,Gyroscopes stable absent recalibration.,A,A-EXP,ARG-A07,A07,Gyroscopes / ring-laser gyros show no Earth rotation,Bob Knodel,GlobeBusters / Behind the Curve,2018,Sagnac 1913; standard ring-laser INS engineering,SELF-CONTRADICTED
20,Time dilation explainable without orbital motion.,A,A-EXP,ARG-A18,A18,GPS/time-dilation corrections work in an Earth frame,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,GPS relativistic clock corrections,STANDARD PHYSICS
21,Ancient cosmologies uniformly geocentric.,D,D,ARG-D01,D01,All ancient cultures were geocentric,Robert Sungenis,"Galileo Was Wrong, Vol. II",2006,,REFUTED
22,Tycho Brahe's hybrid model.,D,D,ARG-D02,D02,"Named ancient authorities (Plato, Aristotle, Ptolemy, Tycho)",Robert Sungenis,"Galileo Was Wrong, Vol. II",2006,,NOT DEMONSTRATED
23,Ptolemaic predictive accuracy.,D,D,ARG-D03,D03,Geocentric/Ptolemaic models made accurate predictions,Robert Sungenis,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
24,Church consistency with Scripture.,C,C,ARG-C07,C07,"Patristic, scholastic and church-tradition affirmation",Robert Sungenis,"Galileo Was Wrong, Vol. III (three-volume edition)",2013,"Robert Bellarmine to Paolo Antonio Foscarini, 12 April 1615",NOT DEMONSTRATED
25,Pre-Copernican universal geocentrism.,D,D,ARG-D01,D01,All ancient cultures were geocentric,Robert Sungenis,"Galileo Was Wrong, Vol. II",2006,,REFUTED
26,Relativity permits stationary Earth frame.,A,A-REL,ARG-R01,R01,General covariance permits a stationary-Earth frame,Walter van der Kamp,De Labore Solis: Airy's Failure Reconsidered,1988,"Einstein, general relativity (1915)",STANDARD PHYSICS
27,Mach's principle supports fixed Earth possibility.,A,A-REL,ARG-R02,R02,Mach's principle / relational mechanics allows a fixed Earth,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Ernst Mach, The Science of Mechanics (1883)",MISLEADING
28,Einstein's equivalence of motion.,A,A-REL,ARG-R04,R04,The equivalence principle validates a local rest frame,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Einstein equivalence principle,STANDARD PHYSICS
29,No experiment proving absolute motion.,A,A-REL,ARG-R03,R03,No experiment detects absolute motion; only relative motion is observable,Walter van der Kamp,The Heart of the Matter,1968,"Henri Poincaré 1904, “The Present and the Future of Mathematical Physics” (St Louis)",STANDARD PHYSICS
30,Modern astronomy uses Earth-centered coordinates.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
31,Equal apparent size of Sun and Moon.,B,B,ARG-B10,B10,Sun and Moon appear the same size; solar diameter constant,Samuel Rowbotham,Earth Not a Globe,1865,,MISLEADING
32,Celestial sphere rotation about observer.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
33,Planetary retrograde motion fit geocentric math.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
34,Day–night cycle from firmament rotation.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
35,Lunar phases explainable without orbit.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
36,No visible rotation of atmosphere or clouds.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
37,No naked-eye parallax.,A,A-EXP,ARG-A05,A05,No measurable stellar parallax,Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. III (as “Parallax”)",1881,"Bessel 1838 (61 Cygni, 0.314″); ESA Gaia DR3",REFUTED
38,Star rotation constant 24 hours.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
39,Precession from dome rotation.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
40,CMB axis aligned with Earth.,E,E,ARG-E01,E01,CMB 'Axis of Evil' aligns with Earth / the ecliptic,Robert Sungenis & Rick DeLano,The Principle (film),2014,"Land & Magueijo 2005, PRL 95:071301; de Oliveira-Costa et al. 2004; Schwarz et al. 2004",MISLEADING
41,Human perception stationary.,D,D,ARG-D11,D11,Perception is reliable; the observer defines the centre,Samuel Rowbotham,Zetetic Astronomy (the zetetic method),1849,,NOT DEMONSTRATED
42,Water finds level.,B,B,ARG-B01,B01,"Water finds its level, therefore the surface is a plane",Samuel Rowbotham,"Zetetic Astronomy (item 384: Carpenter 1885, proof 4)",1849,,REFUTED
43,Horizon flat in long-distance views.,B,B,ARG-B02,B02,The horizon is flat and rises to eye level,Samuel Rowbotham,Zetetic Astronomy,1849,,REFUTED
44,Horizon rises to eye level.,B,B,ARG-B02,B02,The horizon is flat and rises to eye level,Samuel Rowbotham,Zetetic Astronomy,1849,,REFUTED
45,Plane flight times consistent with rest Earth.,A,A-EXP,ARG-A08,A08,Aircraft don't compensate for spin; east/west flight times symmetric,Samuel Rowbotham,Earth Not a Globe,1865,Inertial navigation systems measure Earth rate on every flight,REFUTED
46,GPS Earth-centered.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
47,Surveying assumes stationary ground.,B,B,ARG-B06,B06,Surveyors assume a plane and make no 'allowance',Samuel Rowbotham,Earth Not a Globe,1865,Encyclopaedia Britannica article 'Levelling',SELF-CONTRADICTED
48,Plumb lines perpendicular worldwide.,B,B,ARG-B09,B09,Plumb lines are perpendicular everywhere,Samuel Rowbotham,Earth Not a Globe,1865,,REFUTED
49,Atmosphere concentric layers.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
50,Engineering curvature corrections unnecessary.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
51,Relativity allows Earth-centered math.,A,A-REL,ARG-R01,R01,General covariance permits a stationary-Earth frame,Walter van der Kamp,De Labore Solis: Airy's Failure Reconsidered,1988,"Einstein, general relativity (1915)",STANDARD PHYSICS
52,Indistinguishable rotating universe equivalence.,A,A-REL,ARG-R05,R05,GR admits rotating-universe solutions / frame dragging,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Gödel 1949; Lense–Thirring 1918; Gravity Probe B,MISLEADING
53,Conservation of momentum paradox.,A,A-EXP,ARG-A17,A17,Conservation-of-momentum paradox for a moving Earth,Samuel Rowbotham,Earth Not a Globe,1865,,REFUTED
54,"No wind drag from 67,000 mph orbit.",A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
55,Equatorial bulge alternative cause.,A,A-EXP,ARG-A13,A13,No centrifugal effects felt; equatorial bulge has another cause,Samuel Rowbotham,Earth Not a Globe,1865,,REFUTED
56,Water rotation electromagnetic explanation.,A,A-EXP,ARG-A09,A09,Coriolis effects reassigned to a rotating sky or to electromagnetism,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Gaspard-Gustave de Coriolis 1835,STANDARD PHYSICS
57,Equivalence principle permits rest frame.,A,A-REL,ARG-R04,R04,The equivalence principle validates a local rest frame,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Einstein equivalence principle,STANDARD PHYSICS
58,Relativistic coordinates Earth-valid.,A,A-REL,ARG-R01,R01,General covariance permits a stationary-Earth frame,Walter van der Kamp,De Labore Solis: Airy's Failure Reconsidered,1988,"Einstein, general relativity (1915)",STANDARD PHYSICS
59,Light bending symmetric about Earth.,E,E,ARG-E17,E17,Observed isotropy / Earth-centred fields imply we are the centre,,,,,MISLEADING
60,Redshift symmetry concentric around Earth.,E,E,ARG-E12,E12,Redshift quantization in concentric shells around Earth,Gerardus Bouw,Geocentricity,1992,"Tifft 1976, ApJ 206:38; Tifft & Cocke 1984, ApJ 287:492; Napier & Guthrie 1997, J. Astrophys. Astr. 18:455; Humphreys, TJ 16(2), 2002",REFUTED
61,Psalm 93:1 immovable world.,C,C,ARG-C01,C01,"Proof-texts on an immovable, established Earth",William Carpenter,"One Hundred Proofs, proof 50",1885,,UNFALSIFIABLE
62,Psalm 104:5 Earth on foundations.,C,C,ARG-C01,C01,"Proof-texts on an immovable, established Earth",William Carpenter,"One Hundred Proofs, proof 50",1885,,UNFALSIFIABLE
63,1 Chron 16:30 firmly established world.,C,C,ARG-C01,C01,"Proof-texts on an immovable, established Earth",William Carpenter,"One Hundred Proofs, proof 50",1885,,UNFALSIFIABLE
64,Eccles 1:5 sun rises and sets.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
65,Joshua 10:13 sun stood still.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
66,Habakkuk 3:11 sun and moon halted.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
67,Genesis 1:14–18 lights set for Earth.,C,C,ARG-C04,C04,Proof-texts on the firmament / dome,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
68,Job 38:4 Earth's foundation.,C,C,ARG-C03,C03,Proof-texts on foundations and pillars,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
69,Isaiah 45:18 created to be inhabited.,C,C,ARG-C06,C06,Anthropocentric creation / Earth as footstool,Wilbur Glenn Voliva,Zion sermons,1915,,UNFALSIFIABLE
70,Psalm 19 sun's tabernacle.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
71,Centrality of humanity symbolism.,C,C,ARG-C06,C06,Anthropocentric creation / Earth as footstool,Wilbur Glenn Voliva,Zion sermons,1915,,UNFALSIFIABLE
72,Firmament as real structure.,C,C,ARG-C04,C04,Proof-texts on the firmament / dome,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
73,Sun as servant light.,C,C,ARG-C06,C06,Anthropocentric creation / Earth as footstool,Wilbur Glenn Voliva,Zion sermons,1915,,UNFALSIFIABLE
74,Ancient temple as cosmic model.,D,D,ARG-D08,D08,"Temple, cathedral and Dendera-zodiac architecture as cosmology",Manly P. Hall,The Secret Teachings of All Ages,1928,"Dendera zodiac, Louvre E 13482, dated c. 50 BCE",SELF-CONTRADICTED
75,Divine order centered on man.,C,C,ARG-C06,C06,Anthropocentric creation / Earth as footstool,Wilbur Glenn Voliva,Zion sermons,1915,,UNFALSIFIABLE
76,Occult roots of heliocentrism.,D,D,ARG-D10,D10,Heliocentrism has occult/masonic roots,Marshall Hall,The Earth is not Moving,1991,,NOT DEMONSTRATED
77,Early theologians affirmed geocentrism.,C,C,ARG-C07,C07,"Patristic, scholastic and church-tradition affirmation",Robert Sungenis,"Galileo Was Wrong, Vol. III (three-volume edition)",2013,"Robert Bellarmine to Paolo Antonio Foscarini, 12 April 1615",NOT DEMONSTRATED
78,Medieval hierarchy centered on Earth.,C,C,ARG-C07,C07,"Patristic, scholastic and church-tradition affirmation",Robert Sungenis,"Galileo Was Wrong, Vol. III (three-volume edition)",2013,"Robert Bellarmine to Paolo Antonio Foscarini, 12 April 1615",NOT DEMONSTRATED
79,Sun's circuit divine metaphor.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
80,Observation inherently geocentric.,D,D,ARG-D11,D11,Perception is reliable; the observer defines the centre,Samuel Rowbotham,Zetetic Astronomy (the zetetic method),1849,,NOT DEMONSTRATED
81,No empirical distinction of motion.,A,A-REL,ARG-R03,R03,No experiment detects absolute motion; only relative motion is observable,Walter van der Kamp,The Heart of the Matter,1968,"Henri Poincaré 1904, “The Present and the Future of Mathematical Physics” (St Louis)",STANDARD PHYSICS
82,Heliocentric gravity assumptions unproven.,A,A-EXP,ARG-A23,A23,Gravity / the heliocentric mechanism is unproven,Wilbur Glenn Voliva,Zion sermons & Leaves of Healing,1915,,REFUTED
83,Simplicity favors geocentrism.,D,D,ARG-D12,D12,Simplicity / common sense favours a fixed Earth,Samuel Rowbotham,Zetetic Astronomy,1849,,NOT DEMONSTRATED
84,Perception reliable evidence.,D,D,ARG-D11,D11,Perception is reliable; the observer defines the centre,Samuel Rowbotham,Zetetic Astronomy (the zetetic method),1849,,NOT DEMONSTRATED
85,Universe ordered around observer.,D,D,ARG-D13,D13,"Meaning, teleology and fine-tuning imply centrality",Robert Sungenis,The Principle (film),2014,,UNFALSIFIABLE
86,Dark matter patchwork like epicycles.,D,D,ARG-D14,D14,Dark matter / dark energy / MOND are modern epicycles,Robert Sungenis,"Galileo Was Wrong, Vol. I",2006,,MISLEADING
87,Consciousness defines center.,D,D,ARG-D11,D11,Perception is reliable; the observer defines the centre,Samuel Rowbotham,Zetetic Astronomy (the zetetic method),1849,,NOT DEMONSTRATED
88,No proof of revolution.,A,A-REL,ARG-R03,R03,No experiment detects absolute motion; only relative motion is observable,Walter van der Kamp,The Heart of the Matter,1968,"Henri Poincaré 1904, “The Present and the Future of Mathematical Physics” (St Louis)",STANDARD PHYSICS
89,Axis of Evil alignment.,E,E,ARG-E01,E01,CMB 'Axis of Evil' aligns with Earth / the ecliptic,Robert Sungenis & Rick DeLano,The Principle (film),2014,"Land & Magueijo 2005, PRL 95:071301; de Oliveira-Costa et al. 2004; Schwarz et al. 2004",MISLEADING
90,Quasar distribution symmetry.,E,E,ARG-E04,E04,Quasar polarization alignment and large quasar groups,,,,"Varshni 1976, Ap&SS 43:3–8; Hutsemékers et al. 2005, A&A 441:915; Clowes et al. 2013, MNRAS 429:2910",MISLEADING
91,Cosmic anisotropy Earth-oriented.,E,E,ARG-E01,E01,CMB 'Axis of Evil' aligns with Earth / the ecliptic,Robert Sungenis & Rick DeLano,The Principle (film),2014,"Land & Magueijo 2005, PRL 95:071301; de Oliveira-Costa et al. 2004; Schwarz et al. 2004",MISLEADING
92,Pioneer anomaly Earth-directed.,E,E,ARG-E08,E08,Pioneer and flyby anomalies are Earth-directed,,,,"Anderson et al. 1998, PRL 81:2858; Anderson et al. 2008, PRL 100:091102; Turyshev et al. 2012, PRL 108:241101",REFUTED
93,Angular momentum imbalance.,E,E,ARG-E18,E18,Solar-system angular-momentum distribution problem,,,,,STANDARD PHYSICS
94,Planck data Earth preference.,E,E,ARG-E01,E01,CMB 'Axis of Evil' aligns with Earth / the ecliptic,Robert Sungenis & Rick DeLano,The Principle (film),2014,"Land & Magueijo 2005, PRL 95:071301; de Oliveira-Costa et al. 2004; Schwarz et al. 2004",MISLEADING
95,Lunar stability conflict.,A,A-EXP,ARG-A25,A25,Orbital / lunar / ring stability objections,,,,,NOT DEMONSTRATED
96,Satellite stability Earth-frame.,A,A-EXP,ARG-A21,A21,Satellites and geostationary orbits reinterpreted in an Earth-fixed frame,Samuel Shenton,International Flat Earth Research Society,1957,,STANDARD PHYSICS
97,Constant solar diameter.,B,B,ARG-B10,B10,Sun and Moon appear the same size; solar diameter constant,Samuel Rowbotham,Earth Not a Globe,1865,,MISLEADING
98,Hubble tension observation bias.,E,E,ARG-E09,E09,Hubble tension shows we are at a special location,,,,"Riess et al. 2022, ApJL 934:L7; Kenworthy et al. 2019, ApJ 875:145",MISLEADING
99,Michelson–Morley replications null.,A,A-EXP,ARG-A01,A01,Michelson–Morley null proves Earth is not moving,Walter van der Kamp,The Heart of the Matter,1968,"Michelson & Morley 1887, Am. J. Sci. 34:333",STANDARD PHYSICS
100,Miller aether drift detections.,A,A-EXP,ARG-A12,A12,Dayton Miller detected a real aether drift that was suppressed,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Miller 1933, Rev. Mod. Phys. 5:203; Shankland et al. 1955, Rev. Mod. Phys. 27:167",REFUTED
101,Flyby anomalies Earth-centered.,E,E,ARG-E08,E08,Pioneer and flyby anomalies are Earth-directed,,,,"Anderson et al. 1998, PRL 81:2858; Anderson et al. 2008, PRL 100:091102; Turyshev et al. 2012, PRL 108:241101",REFUTED
102,GPS relativity Earth frame.,A,A-EXP,ARG-A18,A18,GPS/time-dilation corrections work in an Earth frame,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,GPS relativistic clock corrections,STANDARD PHYSICS
103,Inconsistent stellar parallax.,A,A-EXP,ARG-A05,A05,No measurable stellar parallax,Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. III (as “Parallax”)",1881,"Bessel 1838 (61 Cygni, 0.314″); ESA Gaia DR3",REFUTED
104,Solar inertial wobble about Earth.,E,E,ARG-E14,E14,"Solar anomalies (oblateness, neutrinos, apex, barycentre wobble)",,,,,MISLEADING
105,Stable equatorial bulge.,A,A-EXP,ARG-A13,A13,No centrifugal effects felt; equatorial bulge has another cause,Samuel Rowbotham,Earth Not a Globe,1865,,REFUTED
106,Coriolis equivalence with sky rotation.,A,A-EXP,ARG-A09,A09,Coriolis effects reassigned to a rotating sky or to electromagnetism,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Gaspard-Gustave de Coriolis 1835,STANDARD PHYSICS
107,Atmospheric coupling unexplained.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
108,High-altitude balloons drift anomaly.,A,A-EXP,ARG-A16,A16,High-altitude balloon drift and sun-angle anomalies,,,,,NOT DEMONSTRATED
109,Geostationary satellites reinterpretation.,A,A-EXP,ARG-A21,A21,Satellites and geostationary orbits reinterpreted in an Earth-fixed frame,Samuel Shenton,International Flat Earth Research Society,1957,,STANDARD PHYSICS
110,Flight symmetry east/west.,A,A-EXP,ARG-A08,A08,Aircraft don't compensate for spin; east/west flight times symmetric,Samuel Rowbotham,Earth Not a Globe,1865,Inertial navigation systems measure Earth rate on every flight,REFUTED
111,Horizon tests flat.,B,B,ARG-B02,B02,The horizon is flat and rises to eye level,Samuel Rowbotham,Zetetic Astronomy,1849,,REFUTED
112,Non-rotation gyroscope studies.,A,A-EXP,ARG-A07,A07,Gyroscopes / ring-laser gyros show no Earth rotation,Bob Knodel,GlobeBusters / Behind the Curve,2018,Sagnac 1913; standard ring-laser INS engineering,SELF-CONTRADICTED
113,Ocean currents electromagnetic.,A,A-EXP,ARG-A09,A09,Coriolis effects reassigned to a rotating sky or to electromagnetism,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Gaspard-Gustave de Coriolis 1835,STANDARD PHYSICS
114,Artillery stationary calculations.,A,A-EXP,ARG-A14,A14,Ballistics and artillery ignore Earth's rotation,Samuel Rowbotham,Earth Not a Globe,1865,Standard long-range fire-control tables,REFUTED
115,GPS Sagnac confirmation.,A,A-EXP,ARG-A02,A02,Michelson–Gale / Sagnac interferometry shows a stationary Earth,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Michelson, Gale & Pearson 1925, ApJ 61:140",REFUTED
116,CMB ecliptic alignment.,E,E,ARG-E01,E01,CMB 'Axis of Evil' aligns with Earth / the ecliptic,Robert Sungenis & Rick DeLano,The Principle (film),2014,"Land & Magueijo 2005, PRL 95:071301; de Oliveira-Costa et al. 2004; Schwarz et al. 2004",MISLEADING
117,Quasar alignment with ecliptic.,E,E,ARG-E04,E04,Quasar polarization alignment and large quasar groups,,,,"Varshni 1976, Ap&SS 43:3–8; Hutsemékers et al. 2005, A&A 441:915; Clowes et al. 2013, MNRAS 429:2910",MISLEADING
118,Relativistic invariance of frame.,A,A-REL,ARG-R01,R01,General covariance permits a stationary-Earth frame,Walter van der Kamp,De Labore Solis: Airy's Failure Reconsidered,1988,"Einstein, general relativity (1915)",STANDARD PHYSICS
119,All ancient cultures geocentric.,D,D,ARG-D01,D01,All ancient cultures were geocentric,Robert Sungenis,"Galileo Was Wrong, Vol. II",2006,,REFUTED
120,Plato's Timaeus central Earth.,D,D,ARG-D02,D02,"Named ancient authorities (Plato, Aristotle, Ptolemy, Tycho)",Robert Sungenis,"Galileo Was Wrong, Vol. II",2006,,NOT DEMONSTRATED
121,Aristotle's unmoved mover.,D,D,ARG-D02,D02,"Named ancient authorities (Plato, Aristotle, Ptolemy, Tycho)",Robert Sungenis,"Galileo Was Wrong, Vol. II",2006,,NOT DEMONSTRATED
122,Ptolemy's spheres.,D,D,ARG-D02,D02,"Named ancient authorities (Plato, Aristotle, Ptolemy, Tycho)",Robert Sungenis,"Galileo Was Wrong, Vol. II",2006,,NOT DEMONSTRATED
123,Tycho's geo-heliocentric compromise.,D,D,ARG-D02,D02,"Named ancient authorities (Plato, Aristotle, Ptolemy, Tycho)",Robert Sungenis,"Galileo Was Wrong, Vol. II",2006,,NOT DEMONSTRATED
124,Early Church fathers.,C,C,ARG-C07,C07,"Patristic, scholastic and church-tradition affirmation",Robert Sungenis,"Galileo Was Wrong, Vol. III (three-volume edition)",2013,"Robert Bellarmine to Paolo Antonio Foscarini, 12 April 1615",NOT DEMONSTRATED
125,Galileo debate empirical not faith.,D,D,ARG-D15,D15,"The Galileo affair was scientific, not religious",Robert Sungenis,"Galileo Was Wrong, Vol. III (three-volume edition)",2013,,NOT DEMONSTRATED
126,Temples as world-centers.,D,D,ARG-D08,D08,"Temple, cathedral and Dendera-zodiac architecture as cosmology",Manly P. Hall,The Secret Teachings of All Ages,1928,"Dendera zodiac, Louvre E 13482, dated c. 50 BCE",SELF-CONTRADICTED
127,Medieval art concentric heavens.,D,D,ARG-D08,D08,"Temple, cathedral and Dendera-zodiac architecture as cosmology",Manly P. Hall,The Secret Teachings of All Ages,1928,"Dendera zodiac, Louvre E 13482, dated c. 50 BCE",SELF-CONTRADICTED
128,Navigation charts fixed pole.,B,B,ARG-B12,B12,Polar navigation and dead reckoning imply a dome/disc,Charles K. Johnson,Flat Earth News,1972,,REFUTED
129,Mach's inertia explanation.,A,A-REL,ARG-R02,R02,Mach's principle / relational mechanics allows a fixed Earth,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Ernst Mach, The Science of Mechanics (1883)",MISLEADING
130,Einstein admission of equivalence.,A,A-REL,ARG-R04,R04,The equivalence principle validates a local rest frame,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Einstein equivalence principle,STANDARD PHYSICS
